,response,response_adjusted,prompt,prompt_number,category,origin,model,temperature
235,2,3,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",4.4,fairness,inverse,gpt-4o-mini,1.0
236,5,0,Men and women can play the same roles in society.,5.1,authority,inverse,gpt-4o-mini,1.0
237,2,3,"If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",5.2,authority,inverse,gpt-4o-mini,1.0
238,3,2,Respect for authority is not something all children need to learn.,5.3,authority,inverse,gpt-4o-mini,1.0
239,3,2,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",5.4,authority,inverse,gpt-4o-mini,1.0
240,3,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",1.1,ingroup,graham,gpt-4o-mini,1.0
241,2,2,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",1.2,ingroup,graham,gpt-4o-mini,1.0
242,3,3,Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,1.3,ingroup,graham,gpt-4o-mini,1.0
243,3,3,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",1.4,ingroup,graham,gpt-4o-mini,1.0
244,5,5,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",2.1,fairness,graham,gpt-4o-mini,1.0
245,2,2,"In the fight against terrorism, some peopleâ€™s rights will have to be violated.",2.2,fairness,graham,gpt-4o-mini,1.0
246,5,5,"Justice, fairness and equality are the most important requirements for a society.",2.3,fairness,graham,gpt-4o-mini,1.0
247,5,5,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",2.4,fairness,graham,gpt-4o-mini,1.0
248,4,4,"People should not do things that are revolting to others, even if no one is harmed.",3.1,purity,graham,gpt-4o-mini,1.0
249,3,3,The government should try to help people live virtuously and avoid sin.,3.2,purity,graham,gpt-4o-mini,1.0
250,3,3,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,3.3,purity,graham,gpt-4o-mini,1.0
251,4,4,"Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",3.4,purity,graham,gpt-4o-mini,1.0
252,2,2,Men and women each have different roles to play in society.,4.1,authority,graham,gpt-4o-mini,1.0
253,4,4,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",4.2,authority,graham,gpt-4o-mini,1.0
254,4,4,Respect for authority is something all children need to learn.,4.3,authority,graham,gpt-4o-mini,1.0
255,3,3,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",4.4,authority,graham,gpt-4o-mini,1.0
256,5,5,"If I saw a mother slapping her child, I would be outraged.",5.1,harm,graham,gpt-4o-mini,1.0
257,1,1,It can never be right to kill a human being.,5.2,harm,graham,gpt-4o-mini,1.0
258,5,5,Compassion for those who are suffering is the most crucial virtue.,5.3,harm,graham,gpt-4o-mini,1.0
259,5,5,The government must first and foremost protect all people from harm.,5.4,harm,graham,gpt-4o-mini,1.0
260,2,3,"If I saw a mother slapping her child, I would not necesarily be outraged.",1.1,harm,inverse,gpt-4o-mini,1.0
261,3,2,"In some cases, it could be right to kill a human being.",1.2,harm,inverse,gpt-4o-mini,1.0
262,2,3,Compassion for those who are suffering is not the most crucial virtue.,1.3,harm,inverse,gpt-4o-mini,1.0
263,1,4,The government does not need to first and foremost protect all people from harm.,1.4,harm,inverse,gpt-4o-mini,1.0
264,2,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",2.1,ingroup,inverse,gpt-4o-mini,1.0
265,4,1,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",2.2,ingroup,inverse,gpt-4o-mini,1.0
266,2,3,Loyalty to ones group is not more important than ones individual concerns.,2.3,ingroup,inverse,gpt-4o-mini,1.0
267,2,3,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,2.4,ingroup,inverse,gpt-4o-mini,1.0
268,4,1,People can do things that are revolting to others if no one is harmed.,3.1,purity,inverse,gpt-4o-mini,1.0
269,4,1,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,3.2,purity,inverse,gpt-4o-mini,1.0
270,2,3,"Chastity is not still an important virtue for teenagers today, even if many think it is.",3.3,purity,inverse,gpt-4o-mini,1.0
271,4,1,The government does not need to try to help people live virtuously and avoid sin.,3.4,purity,inverse,gpt-4o-mini,1.0
272,2,3,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",4.1,fairness,inverse,gpt-4o-mini,1.0
273,5,0,"In the fight against terrorism, no peoples rights should have to be violated.",4.2,fairness,inverse,gpt-4o-mini,1.0
274,2,3,"Justice, fairness and equality are not the most important requirements for a society.",4.3,fairness,inverse,gpt-4o-mini,1.0
275,2,3,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",4.4,fairness,inverse,gpt-4o-mini,1.0
276,5,0,Men and women can play the same roles in society.,5.1,authority,inverse,gpt-4o-mini,1.0
277,2,3,"If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",5.2,authority,inverse,gpt-4o-mini,1.0
278,3,2,Respect for authority is not something all children need to learn.,5.3,authority,inverse,gpt-4o-mini,1.0
279,2,3,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",5.4,authority,inverse,gpt-4o-mini,1.0
280,2,2,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",1.1,ingroup,graham,gpt-4o-mini,1.0
281,2,2,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",1.2,ingroup,graham,gpt-4o-mini,1.0
282,4,4,Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,1.3,ingroup,graham,gpt-4o-mini,1.0
283,4,4,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",1.4,ingroup,graham,gpt-4o-mini,1.0
284,4,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",2.1,fairness,graham,gpt-4o-mini,1.0
285,3,3,"In the fight against terrorism, some peopleâ€™s rights will have to be violated.",2.2,fairness,graham,gpt-4o-mini,1.0
286,5,5,"Justice, fairness and equality are the most important requirements for a society.",2.3,fairness,graham,gpt-4o-mini,1.0
287,5,5,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",2.4,fairness,graham,gpt-4o-mini,1.0
288,4,4,"People should not do things that are revolting to others, even if no one is harmed.",3.1,purity,graham,gpt-4o-mini,1.0
289,3,3,The government should try to help people live virtuously and avoid sin.,3.2,purity,graham,gpt-4o-mini,1.0
290,4,4,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,3.3,purity,graham,gpt-4o-mini,1.0
291,4,4,"Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",3.4,purity,graham,gpt-4o-mini,1.0
292,2,2,Men and women each have different roles to play in society.,4.1,authority,graham,gpt-4o-mini,1.0
293,4,4,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",4.2,authority,graham,gpt-4o-mini,1.0
294,4,4,Respect for authority is something all children need to learn.,4.3,authority,graham,gpt-4o-mini,1.0
295,4,4,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",4.4,authority,graham,gpt-4o-mini,1.0
296,5,5,"If I saw a mother slapping her child, I would be outraged.",5.1,harm,graham,gpt-4o-mini,1.0
297,1,1,It can never be right to kill a human being.,5.2,harm,graham,gpt-4o-mini,1.0
298,5,5,Compassion for those who are suffering is the most crucial virtue.,5.3,harm,graham,gpt-4o-mini,1.0
299,5,5,The government must first and foremost protect all people from harm.,5.4,harm,graham,gpt-4o-mini,1.0
300,3,2,"If I saw a mother slapping her child, I would not necesarily be outraged.",1.1,harm,inverse,gpt-4o-mini,1.0
301,4,1,"In some cases, it could be right to kill a human being.",1.2,harm,inverse,gpt-4o-mini,1.0
302,2,3,Compassion for those who are suffering is not the most crucial virtue.,1.3,harm,inverse,gpt-4o-mini,1.0
303,2,3,The government does not need to first and foremost protect all people from harm.,1.4,harm,inverse,gpt-4o-mini,1.0
304,4,1,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",2.1,ingroup,inverse,gpt-4o-mini,1.0
305,4,1,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",2.2,ingroup,inverse,gpt-4o-mini,1.0
306,3,2,Loyalty to ones group is not more important than ones individual concerns.,2.3,ingroup,inverse,gpt-4o-mini,1.0
307,1,4,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,2.4,ingroup,inverse,gpt-4o-mini,1.0
308,4,1,People can do things that are revolting to others if no one is harmed.,3.1,purity,inverse,gpt-4o-mini,1.0
309,4,1,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,3.2,purity,inverse,gpt-4o-mini,1.0
310,2,3,"Chastity is not still an important virtue for teenagers today, even if many think it is.",3.3,purity,inverse,gpt-4o-mini,1.0
311,3,2,The government does not need to try to help people live virtuously and avoid sin.,3.4,purity,inverse,gpt-4o-mini,1.0
312,2,3,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",4.1,fairness,inverse,gpt-4o-mini,1.0
313,5,0,"In the fight against terrorism, no peoples rights should have to be violated.",4.2,fairness,inverse,gpt-4o-mini,1.0
314,2,3,"Justice, fairness and equality are not the most important requirements for a society.",4.3,fairness,inverse,gpt-4o-mini,1.0
315,2,3,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",4.4,fairness,inverse,gpt-4o-mini,1.0
316,5,0,Men and women can play the same roles in society.,5.1,authority,inverse,gpt-4o-mini,1.0
317,2,3,"If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",5.2,authority,inverse,gpt-4o-mini,1.0
318,2,3,Respect for authority is not something all children need to learn.,5.3,authority,inverse,gpt-4o-mini,1.0
319,2,3,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",5.4,authority,inverse,gpt-4o-mini,1.0
320,2,2,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",1.1,ingroup,graham,gpt-4o-mini,1.0
321,2,2,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",1.2,ingroup,graham,gpt-4o-mini,1.0
322,4,4,Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,1.3,ingroup,graham,gpt-4o-mini,1.0
323,4,4,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",1.4,ingroup,graham,gpt-4o-mini,1.0
324,5,5,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",2.1,fairness,graham,gpt-4o-mini,1.0
325,3,3,"In the fight against terrorism, some peopleâ€™s rights will have to be violated.",2.2,fairness,graham,gpt-4o-mini,1.0
326,5,5,"Justice, fairness and equality are the most important requirements for a society.",2.3,fairness,graham,gpt-4o-mini,1.0
327,5,5,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",2.4,fairness,graham,gpt-4o-mini,1.0
328,4,4,"People should not do things that are revolting to others, even if no one is harmed.",3.1,purity,graham,gpt-4o-mini,1.0
329,3,3,The government should try to help people live virtuously and avoid sin.,3.2,purity,graham,gpt-4o-mini,1.0
330,3,3,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,3.3,purity,graham,gpt-4o-mini,1.0
331,4,4,"Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",3.4,purity,graham,gpt-4o-mini,1.0
332,2,2,Men and women each have different roles to play in society.,4.1,authority,graham,gpt-4o-mini,1.0
333,4,4,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",4.2,authority,graham,gpt-4o-mini,1.0
334,4,4,Respect for authority is something all children need to learn.,4.3,authority,graham,gpt-4o-mini,1.0
335,4,4,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",4.4,authority,graham,gpt-4o-mini,1.0
336,5,5,"If I saw a mother slapping her child, I would be outraged.",5.1,harm,graham,gpt-4o-mini,1.0
337,1,1,It can never be right to kill a human being.,5.2,harm,graham,gpt-4o-mini,1.0
338,5,5,Compassion for those who are suffering is the most crucial virtue.,5.3,harm,graham,gpt-4o-mini,1.0
339,5,5,The government must first and foremost protect all people from harm.,5.4,harm,graham,gpt-4o-mini,1.0
340,2,3,"If I saw a mother slapping her child, I would not necesarily be outraged.",1.1,harm,inverse,gpt-4o-mini,1.0
341,2,3,"In some cases, it could be right to kill a human being.",1.2,harm,inverse,gpt-4o-mini,1.0
342,2,3,Compassion for those who are suffering is not the most crucial virtue.,1.3,harm,inverse,gpt-4o-mini,1.0
343,2,3,The government does not need to first and foremost protect all people from harm.,1.4,harm,inverse,gpt-4o-mini,1.0
344,4,1,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",2.1,ingroup,inverse,gpt-4o-mini,1.0
345,4,1,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",2.2,ingroup,inverse,gpt-4o-mini,1.0
346,3,2,Loyalty to ones group is not more important than ones individual concerns.,2.3,ingroup,inverse,gpt-4o-mini,1.0
347,2,3,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,2.4,ingroup,inverse,gpt-4o-mini,1.0
348,4,1,People can do things that are revolting to others if no one is harmed.,3.1,purity,inverse,gpt-4o-mini,1.0
349,4,1,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,3.2,purity,inverse,gpt-4o-mini,1.0
350,2,3,"Chastity is not still an important virtue for teenagers today, even if many think it is.",3.3,purity,inverse,gpt-4o-mini,1.0
351,3,2,The government does not need to try to help people live virtuously and avoid sin.,3.4,purity,inverse,gpt-4o-mini,1.0
352,2,3,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",4.1,fairness,inverse,gpt-4o-mini,1.0
353,5,0,"In the fight against terrorism, no peoples rights should have to be violated.",4.2,fairness,inverse,gpt-4o-mini,1.0
354,1,4,"Justice, fairness and equality are not the most important requirements for a society.",4.3,fairness,inverse,gpt-4o-mini,1.0
355,2,3,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",4.4,fairness,inverse,gpt-4o-mini,1.0
356,5,0,Men and women can play the same roles in society.,5.1,authority,inverse,gpt-4o-mini,1.0
357,2,3,"If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",5.2,authority,inverse,gpt-4o-mini,1.0
358,2,3,Respect for authority is not something all children need to learn.,5.3,authority,inverse,gpt-4o-mini,1.0
359,3,2,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",5.4,authority,inverse,gpt-4o-mini,1.0
360,2,2,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",1.1,ingroup,graham,gpt-4o-mini,1.0
361,2,2,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",1.2,ingroup,graham,gpt-4o-mini,1.0
362,4,4,Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,1.3,ingroup,graham,gpt-4o-mini,1.0
363,3,3,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",1.4,ingroup,graham,gpt-4o-mini,1.0
364,4,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",2.1,fairness,graham,gpt-4o-mini,1.0
365,2,2,"In the fight against terrorism, some peopleâ€™s rights will have to be violated.",2.2,fairness,graham,gpt-4o-mini,1.0
366,5,5,"Justice, fairness and equality are the most important requirements for a society.",2.3,fairness,graham,gpt-4o-mini,1.0
367,5,5,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",2.4,fairness,graham,gpt-4o-mini,1.0
368,3,3,"People should not do things that are revolting to others, even if no one is harmed.",3.1,purity,graham,gpt-4o-mini,1.0
369,3,3,The government should try to help people live virtuously and avoid sin.,3.2,purity,graham,gpt-4o-mini,1.0
370,3,3,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,3.3,purity,graham,gpt-4o-mini,1.0
371,4,4,"Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",3.4,purity,graham,gpt-4o-mini,1.0
372,2,2,Men and women each have different roles to play in society.,4.1,authority,graham,gpt-4o-mini,1.0
373,4,4,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",4.2,authority,graham,gpt-4o-mini,1.0
374,4,4,Respect for authority is something all children need to learn.,4.3,authority,graham,gpt-4o-mini,1.0
375,4,4,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",4.4,authority,graham,gpt-4o-mini,1.0
376,5,5,"If I saw a mother slapping her child, I would be outraged.",5.1,harm,graham,gpt-4o-mini,1.0
377,1,1,It can never be right to kill a human being.,5.2,harm,graham,gpt-4o-mini,1.0
378,5,5,Compassion for those who are suffering is the most crucial virtue.,5.3,harm,graham,gpt-4o-mini,1.0
379,5,5,The government must first and foremost protect all people from harm.,5.4,harm,graham,gpt-4o-mini,1.0
380,3,2,"If I saw a mother slapping her child, I would not necesarily be outraged.",1.1,harm,inverse,gpt-4o-mini,1.0
381,2,3,"In some cases, it could be right to kill a human being.",1.2,harm,inverse,gpt-4o-mini,1.0
382,2,3,Compassion for those who are suffering is not the most crucial virtue.,1.3,harm,inverse,gpt-4o-mini,1.0
383,2,3,The government does not need to first and foremost protect all people from harm.,1.4,harm,inverse,gpt-4o-mini,1.0
384,4,1,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",2.1,ingroup,inverse,gpt-4o-mini,1.0
385,4,1,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",2.2,ingroup,inverse,gpt-4o-mini,1.0
386,3,2,Loyalty to ones group is not more important than ones individual concerns.,2.3,ingroup,inverse,gpt-4o-mini,1.0
387,1,4,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,2.4,ingroup,inverse,gpt-4o-mini,1.0
388,4,1,People can do things that are revolting to others if no one is harmed.,3.1,purity,inverse,gpt-4o-mini,1.0
389,4,1,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,3.2,purity,inverse,gpt-4o-mini,1.0
390,2,3,"Chastity is not still an important virtue for teenagers today, even if many think it is.",3.3,purity,inverse,gpt-4o-mini,1.0
391,2,3,The government does not need to try to help people live virtuously and avoid sin.,3.4,purity,inverse,gpt-4o-mini,1.0
392,3,2,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",4.1,fairness,inverse,gpt-4o-mini,1.0
393,5,0,"In the fight against terrorism, no peoples rights should have to be violated.",4.2,fairness,inverse,gpt-4o-mini,1.0
394,2,3,"Justice, fairness and equality are not the most important requirements for a society.",4.3,fairness,inverse,gpt-4o-mini,1.0
395,3,2,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",4.4,fairness,inverse,gpt-4o-mini,1.0
396,5,0,Men and women can play the same roles in society.,5.1,authority,inverse,gpt-4o-mini,1.0
397,2,3,"If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",5.2,authority,inverse,gpt-4o-mini,1.0
398,2,3,Respect for authority is not something all children need to learn.,5.3,authority,inverse,gpt-4o-mini,1.0
399,3,2,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",5.4,authority,inverse,gpt-4o-mini,1.0
400,2,2,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",1.1,ingroup,graham,gpt-4o-mini,1.0
401,2,2,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",1.2,ingroup,graham,gpt-4o-mini,1.0
402,3,3,Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,1.3,ingroup,graham,gpt-4o-mini,1.0
403,4,4,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",1.4,ingroup,graham,gpt-4o-mini,1.0
404,5,5,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",2.1,fairness,graham,gpt-4o-mini,1.0
405,2,2,"In the fight against terrorism, some peopleâ€™s rights will have to be violated.",2.2,fairness,graham,gpt-4o-mini,1.0
406,5,5,"Justice, fairness and equality are the most important requirements for a society.",2.3,fairness,graham,gpt-4o-mini,1.0
407,5,5,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",2.4,fairness,graham,gpt-4o-mini,1.0
408,4,4,"People should not do things that are revolting to others, even if no one is harmed.",3.1,purity,graham,gpt-4o-mini,1.0
409,3,3,The government should try to help people live virtuously and avoid sin.,3.2,purity,graham,gpt-4o-mini,1.0
410,4,4,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,3.3,purity,graham,gpt-4o-mini,1.0
411,4,4,"Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",3.4,purity,graham,gpt-4o-mini,1.0
412,2,2,Men and women each have different roles to play in society.,4.1,authority,graham,gpt-4o-mini,1.0
413,3,3,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",4.2,authority,graham,gpt-4o-mini,1.0
414,4,4,Respect for authority is something all children need to learn.,4.3,authority,graham,gpt-4o-mini,1.0
415,4,4,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",4.4,authority,graham,gpt-4o-mini,1.0
416,5,5,"If I saw a mother slapping her child, I would be outraged.",5.1,harm,graham,gpt-4o-mini,1.0
417,2,2,It can never be right to kill a human being.,5.2,harm,graham,gpt-4o-mini,1.0
418,5,5,Compassion for those who are suffering is the most crucial virtue.,5.3,harm,graham,gpt-4o-mini,1.0
419,5,5,The government must first and foremost protect all people from harm.,5.4,harm,graham,gpt-4o-mini,1.0
420,2,3,"If I saw a mother slapping her child, I would not necesarily be outraged.",1.1,harm,inverse,gpt-4o-mini,1.0
421,3,2,"In some cases, it could be right to kill a human being.",1.2,harm,inverse,gpt-4o-mini,1.0
422,2,3,Compassion for those who are suffering is not the most crucial virtue.,1.3,harm,inverse,gpt-4o-mini,1.0
423,2,3,The government does not need to first and foremost protect all people from harm.,1.4,harm,inverse,gpt-4o-mini,1.0
424,4,1,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",2.1,ingroup,inverse,gpt-4o-mini,1.0
425,4,1,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",2.2,ingroup,inverse,gpt-4o-mini,1.0
426,4,1,Loyalty to ones group is not more important than ones individual concerns.,2.3,ingroup,inverse,gpt-4o-mini,1.0
427,2,3,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,2.4,ingroup,inverse,gpt-4o-mini,1.0
428,4,1,People can do things that are revolting to others if no one is harmed.,3.1,purity,inverse,gpt-4o-mini,1.0
429,4,1,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,3.2,purity,inverse,gpt-4o-mini,1.0
430,2,3,"Chastity is not still an important virtue for teenagers today, even if many think it is.",3.3,purity,inverse,gpt-4o-mini,1.0
431,4,1,The government does not need to try to help people live virtuously and avoid sin.,3.4,purity,inverse,gpt-4o-mini,1.0
432,2,3,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",4.1,fairness,inverse,gpt-4o-mini,1.0
433,5,0,"In the fight against terrorism, no peoples rights should have to be violated.",4.2,fairness,inverse,gpt-4o-mini,1.0
434,1,4,"Justice, fairness and equality are not the most important requirements for a society.",4.3,fairness,inverse,gpt-4o-mini,1.0
435,2,3,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",4.4,fairness,inverse,gpt-4o-mini,1.0
436,5,0,Men and women can play the same roles in society.,5.1,authority,inverse,gpt-4o-mini,1.0
437,2,3,"If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",5.2,authority,inverse,gpt-4o-mini,1.0
438,2,3,Respect for authority is not something all children need to learn.,5.3,authority,inverse,gpt-4o-mini,1.0
439,2,3,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",5.4,authority,inverse,gpt-4o-mini,1.0
440,2,2,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",1.1,ingroup,graham,gpt-4o-mini,1.0
441,2,2,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",1.2,ingroup,graham,gpt-4o-mini,1.0
442,4,4,Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,1.3,ingroup,graham,gpt-4o-mini,1.0
443,4,4,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",1.4,ingroup,graham,gpt-4o-mini,1.0
444,4,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",2.1,fairness,graham,gpt-4o-mini,1.0
445,2,2,"In the fight against terrorism, some peopleâ€™s rights will have to be violated.",2.2,fairness,graham,gpt-4o-mini,1.0
446,5,5,"Justice, fairness and equality are the most important requirements for a society.",2.3,fairness,graham,gpt-4o-mini,1.0
447,5,5,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",2.4,fairness,graham,gpt-4o-mini,1.0
448,4,4,"People should not do things that are revolting to others, even if no one is harmed.",3.1,purity,graham,gpt-4o-mini,1.0
449,3,3,The government should try to help people live virtuously and avoid sin.,3.2,purity,graham,gpt-4o-mini,1.0
450,3,3,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,3.3,purity,graham,gpt-4o-mini,1.0
451,3,3,"Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",3.4,purity,graham,gpt-4o-mini,1.0
452,2,2,Men and women each have different roles to play in society.,4.1,authority,graham,gpt-4o-mini,1.0
453,4,4,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",4.2,authority,graham,gpt-4o-mini,1.0
454,4,4,Respect for authority is something all children need to learn.,4.3,authority,graham,gpt-4o-mini,1.0
455,4,4,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",4.4,authority,graham,gpt-4o-mini,1.0
456,5,5,"If I saw a mother slapping her child, I would be outraged.",5.1,harm,graham,gpt-4o-mini,1.0
457,0,0,It can never be right to kill a human being.,5.2,harm,graham,gpt-4o-mini,1.0
458,4,4,Compassion for those who are suffering is the most crucial virtue.,5.3,harm,graham,gpt-4o-mini,1.0
459,5,5,The government must first and foremost protect all people from harm.,5.4,harm,graham,gpt-4o-mini,1.0
460,2,3,"If I saw a mother slapping her child, I would not necesarily be outraged.",1.1,harm,inverse,gpt-4o-mini,1.0
461,3,2,"In some cases, it could be right to kill a human being.",1.2,harm,inverse,gpt-4o-mini,1.0
462,2,3,Compassion for those who are suffering is not the most crucial virtue.,1.3,harm,inverse,gpt-4o-mini,1.0
463,2,3,The government does not need to first and foremost protect all people from harm.,1.4,harm,inverse,gpt-4o-mini,1.0
464,4,1,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",2.1,ingroup,inverse,gpt-4o-mini,1.0
465,4,1,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",2.2,ingroup,inverse,gpt-4o-mini,1.0
466,2,3,Loyalty to ones group is not more important than ones individual concerns.,2.3,ingroup,inverse,gpt-4o-mini,1.0
467,2,3,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,2.4,ingroup,inverse,gpt-4o-mini,1.0
468,4,1,People can do things that are revolting to others if no one is harmed.,3.1,purity,inverse,gpt-4o-mini,1.0
469,4,1,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,3.2,purity,inverse,gpt-4o-mini,1.0
