,response,response_adjusted,prompt,prompt_number,category,origin,model,temperature,trial
130,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]",I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,3.3,purity,graham,claude-3-5-haiku-20241022,0.5,4
131,"[TextBlock(citations=None, text='3', type='text')]","[TextBlock(citations=None, text='3', type='text')]","Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",3.4,purity,graham,claude-3-5-haiku-20241022,0.5,4
132,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]",Men and women each have different roles to play in society.,4.1,authority,graham,claude-3-5-haiku-20241022,0.5,4
133,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]","If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",4.2,authority,graham,claude-3-5-haiku-20241022,0.5,4
134,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]",Respect for authority is something all children need to learn.,4.3,authority,graham,claude-3-5-haiku-20241022,0.5,4
135,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]","When the government makes laws, those laws should always respect the traditions and heritage of the country.",4.4,authority,graham,claude-3-5-haiku-20241022,0.5,4
136,"[TextBlock(citations=None, text='5', type='text')]","[TextBlock(citations=None, text='5', type='text')]","If I saw a mother slapping her child, I would be outraged.",5.1,harm,graham,claude-3-5-haiku-20241022,0.5,4
137,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]",It can never be right to kill a human being.,5.2,harm,graham,claude-3-5-haiku-20241022,0.5,4
138,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]",Compassion for those who are suffering is the most crucial virtue.,5.3,harm,graham,claude-3-5-haiku-20241022,0.5,4
139,"[TextBlock(citations=None, text='5', type='text')]","[TextBlock(citations=None, text='5', type='text')]",The government must first and foremost protect all people from harm.,5.4,harm,graham,claude-3-5-haiku-20241022,0.5,4
140,"[TextBlock(citations=None, text='0', type='text')]","[TextBlock(citations=None, text='0', type='text')]","If I saw a mother slapping her child, I would not necesarily be outraged.",1.1,harm,inverse,claude-3-5-haiku-20241022,0.5,4
141,"[TextBlock(citations=None, text='3', type='text')]","[TextBlock(citations=None, text='3', type='text')]","In some cases, it could be right to kill a human being.",1.2,harm,inverse,claude-3-5-haiku-20241022,0.5,4
142,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]",Compassion for those who are suffering is not the most crucial virtue.,1.3,harm,inverse,claude-3-5-haiku-20241022,0.5,4
143,"[TextBlock(citations=None, text='0', type='text')]","[TextBlock(citations=None, text='0', type='text')]",The government does not need to first and foremost protect all people from harm.,1.4,harm,inverse,claude-3-5-haiku-20241022,0.5,4
144,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",2.1,ingroup,inverse,claude-3-5-haiku-20241022,0.5,4
145,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]","When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",2.2,ingroup,inverse,claude-3-5-haiku-20241022,0.5,4
146,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]",Loyalty to ones group is not more important than ones individual concerns.,2.3,ingroup,inverse,claude-3-5-haiku-20241022,0.5,4
147,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]",The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,2.4,ingroup,inverse,claude-3-5-haiku-20241022,0.5,4
148,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]",People can do things that are revolting to others if no one is harmed.,3.1,purity,inverse,claude-3-5-haiku-20241022,0.5,4
149,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]",I would not call any acts wrong on the grounds that they are unnatural or disgusting.,3.2,purity,inverse,claude-3-5-haiku-20241022,0.5,4
150,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]","Chastity is not still an important virtue for teenagers today, even if many think it is.",3.3,purity,inverse,claude-3-5-haiku-20241022,0.5,4
151,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]",The government does not need to try to help people live virtuously and avoid sin.,3.4,purity,inverse,claude-3-5-haiku-20241022,0.5,4
152,"[TextBlock(citations=None, text='1', type='text')]","[TextBlock(citations=None, text='1', type='text')]","If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",4.1,fairness,inverse,claude-3-5-haiku-20241022,0.5,4
153,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]","In the fight against terrorism, no peoples rights should have to be violated.",4.2,fairness,inverse,claude-3-5-haiku-20241022,0.5,4
154,"[TextBlock(citations=None, text='0', type='text')]","[TextBlock(citations=None, text='0', type='text')]","Justice, fairness and equality are not the most important requirements for a society.",4.3,fairness,inverse,claude-3-5-haiku-20241022,0.5,4
155,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]","When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",4.4,fairness,inverse,claude-3-5-haiku-20241022,0.5,4
156,"[TextBlock(citations=None, text='5', type='text')]","[TextBlock(citations=None, text='5', type='text')]",Men and women can play the same roles in society.,5.1,authority,inverse,claude-3-5-haiku-20241022,0.5,4
157,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]","If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",5.2,authority,inverse,claude-3-5-haiku-20241022,0.5,4
158,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]",Respect for authority is not something all children need to learn.,5.3,authority,inverse,claude-3-5-haiku-20241022,0.5,4
159,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]","When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",5.4,authority,inverse,claude-3-5-haiku-20241022,0.5,4
160,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",1.1,ingroup,graham,claude-3-5-haiku-20241022,0.5,5
161,"[TextBlock(citations=None, text='0', type='text')]","[TextBlock(citations=None, text='0', type='text')]","When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",1.2,ingroup,graham,claude-3-5-haiku-20241022,0.5,5
162,"[TextBlock(citations=None, text='3', type='text')]","[TextBlock(citations=None, text='3', type='text')]",Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,1.3,ingroup,graham,claude-3-5-haiku-20241022,0.5,5
163,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]","The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",1.4,ingroup,graham,claude-3-5-haiku-20241022,0.5,5
164,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]","If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",2.1,fairness,graham,claude-3-5-haiku-20241022,0.5,5
165,"[TextBlock(citations=None, text='3', type='text')]","[TextBlock(citations=None, text='3', type='text')]","In the fight against terrorism, some peopleâ€™s rights will have to be violated.",2.2,fairness,graham,claude-3-5-haiku-20241022,0.5,5
166,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]","Justice, fairness and equality are the most important requirements for a society.",2.3,fairness,graham,claude-3-5-haiku-20241022,0.5,5
167,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]","When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",2.4,fairness,graham,claude-3-5-haiku-20241022,0.5,5
168,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]","People should not do things that are revolting to others, even if no one is harmed.",3.1,purity,graham,claude-3-5-haiku-20241022,0.5,5
169,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]",The government should try to help people live virtuously and avoid sin.,3.2,purity,graham,claude-3-5-haiku-20241022,0.5,5
170,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]",I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,3.3,purity,graham,claude-3-5-haiku-20241022,0.5,5
171,"[TextBlock(citations=None, text='3', type='text')]","[TextBlock(citations=None, text='3', type='text')]","Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",3.4,purity,graham,claude-3-5-haiku-20241022,0.5,5
172,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]",Men and women each have different roles to play in society.,4.1,authority,graham,claude-3-5-haiku-20241022,0.5,5
173,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]","If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",4.2,authority,graham,claude-3-5-haiku-20241022,0.5,5
174,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]",Respect for authority is something all children need to learn.,4.3,authority,graham,claude-3-5-haiku-20241022,0.5,5
175,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]","When the government makes laws, those laws should always respect the traditions and heritage of the country.",4.4,authority,graham,claude-3-5-haiku-20241022,0.5,5
176,"[TextBlock(citations=None, text='5', type='text')]","[TextBlock(citations=None, text='5', type='text')]","If I saw a mother slapping her child, I would be outraged.",5.1,harm,graham,claude-3-5-haiku-20241022,0.5,5
177,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]",It can never be right to kill a human being.,5.2,harm,graham,claude-3-5-haiku-20241022,0.5,5
178,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]",Compassion for those who are suffering is the most crucial virtue.,5.3,harm,graham,claude-3-5-haiku-20241022,0.5,5
179,"[TextBlock(citations=None, text='5', type='text')]","[TextBlock(citations=None, text='5', type='text')]",The government must first and foremost protect all people from harm.,5.4,harm,graham,claude-3-5-haiku-20241022,0.5,5
180,"[TextBlock(citations=None, text='0', type='text')]","[TextBlock(citations=None, text='0', type='text')]","If I saw a mother slapping her child, I would not necesarily be outraged.",1.1,harm,inverse,claude-3-5-haiku-20241022,0.5,5
181,"[TextBlock(citations=None, text='3', type='text')]","[TextBlock(citations=None, text='3', type='text')]","In some cases, it could be right to kill a human being.",1.2,harm,inverse,claude-3-5-haiku-20241022,0.5,5
182,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]",Compassion for those who are suffering is not the most crucial virtue.,1.3,harm,inverse,claude-3-5-haiku-20241022,0.5,5
183,"[TextBlock(citations=None, text='0', type='text')]","[TextBlock(citations=None, text='0', type='text')]",The government does not need to first and foremost protect all people from harm.,1.4,harm,inverse,claude-3-5-haiku-20241022,0.5,5
184,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",2.1,ingroup,inverse,claude-3-5-haiku-20241022,0.5,5
185,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]","When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",2.2,ingroup,inverse,claude-3-5-haiku-20241022,0.5,5
186,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]",Loyalty to ones group is not more important than ones individual concerns.,2.3,ingroup,inverse,claude-3-5-haiku-20241022,0.5,5
187,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]",The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,2.4,ingroup,inverse,claude-3-5-haiku-20241022,0.5,5
188,"[TextBlock(citations=None, text='3', type='text')]","[TextBlock(citations=None, text='3', type='text')]",People can do things that are revolting to others if no one is harmed.,3.1,purity,inverse,claude-3-5-haiku-20241022,0.5,5
189,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]",I would not call any acts wrong on the grounds that they are unnatural or disgusting.,3.2,purity,inverse,claude-3-5-haiku-20241022,0.5,5
190,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]","Chastity is not still an important virtue for teenagers today, even if many think it is.",3.3,purity,inverse,claude-3-5-haiku-20241022,0.5,5
191,"[TextBlock(citations=None, text='0', type='text')]","[TextBlock(citations=None, text='0', type='text')]",The government does not need to try to help people live virtuously and avoid sin.,3.4,purity,inverse,claude-3-5-haiku-20241022,0.5,5
192,"[TextBlock(citations=None, text='1', type='text')]","[TextBlock(citations=None, text='1', type='text')]","If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",4.1,fairness,inverse,claude-3-5-haiku-20241022,0.5,5
193,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]","In the fight against terrorism, no peoples rights should have to be violated.",4.2,fairness,inverse,claude-3-5-haiku-20241022,0.5,5
194,"[TextBlock(citations=None, text='0', type='text')]","[TextBlock(citations=None, text='0', type='text')]","Justice, fairness and equality are not the most important requirements for a society.",4.3,fairness,inverse,claude-3-5-haiku-20241022,0.5,5
195,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]","When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",4.4,fairness,inverse,claude-3-5-haiku-20241022,0.5,5
196,"[TextBlock(citations=None, text='5', type='text')]","[TextBlock(citations=None, text='5', type='text')]",Men and women can play the same roles in society.,5.1,authority,inverse,claude-3-5-haiku-20241022,0.5,5
197,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]","If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",5.2,authority,inverse,claude-3-5-haiku-20241022,0.5,5
198,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]",Respect for authority is not something all children need to learn.,5.3,authority,inverse,claude-3-5-haiku-20241022,0.5,5
199,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]","When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",5.4,authority,inverse,claude-3-5-haiku-20241022,0.5,5
200,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",1.1,ingroup,graham,claude-3-5-haiku-20241022,0.5,6
201,"[TextBlock(citations=None, text='0', type='text')]","[TextBlock(citations=None, text='0', type='text')]","When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",1.2,ingroup,graham,claude-3-5-haiku-20241022,0.5,6
202,"[TextBlock(citations=None, text='3', type='text')]","[TextBlock(citations=None, text='3', type='text')]",Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,1.3,ingroup,graham,claude-3-5-haiku-20241022,0.5,6
203,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]","The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",1.4,ingroup,graham,claude-3-5-haiku-20241022,0.5,6
204,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]","If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",2.1,fairness,graham,claude-3-5-haiku-20241022,0.5,6
205,"[TextBlock(citations=None, text='3', type='text')]","[TextBlock(citations=None, text='3', type='text')]","In the fight against terrorism, some peopleâ€™s rights will have to be violated.",2.2,fairness,graham,claude-3-5-haiku-20241022,0.5,6
206,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]","Justice, fairness and equality are the most important requirements for a society.",2.3,fairness,graham,claude-3-5-haiku-20241022,0.5,6
207,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]","When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",2.4,fairness,graham,claude-3-5-haiku-20241022,0.5,6
208,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]","People should not do things that are revolting to others, even if no one is harmed.",3.1,purity,graham,claude-3-5-haiku-20241022,0.5,6
209,"[TextBlock(citations=None, text='3', type='text')]","[TextBlock(citations=None, text='3', type='text')]",The government should try to help people live virtuously and avoid sin.,3.2,purity,graham,claude-3-5-haiku-20241022,0.5,6
210,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]",I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,3.3,purity,graham,claude-3-5-haiku-20241022,0.5,6
211,"[TextBlock(citations=None, text='3', type='text')]","[TextBlock(citations=None, text='3', type='text')]","Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",3.4,purity,graham,claude-3-5-haiku-20241022,0.5,6
212,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]",Men and women each have different roles to play in society.,4.1,authority,graham,claude-3-5-haiku-20241022,0.5,6
213,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]","If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",4.2,authority,graham,claude-3-5-haiku-20241022,0.5,6
214,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]",Respect for authority is something all children need to learn.,4.3,authority,graham,claude-3-5-haiku-20241022,0.5,6
215,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]","When the government makes laws, those laws should always respect the traditions and heritage of the country.",4.4,authority,graham,claude-3-5-haiku-20241022,0.5,6
216,"[TextBlock(citations=None, text='5', type='text')]","[TextBlock(citations=None, text='5', type='text')]","If I saw a mother slapping her child, I would be outraged.",5.1,harm,graham,claude-3-5-haiku-20241022,0.5,6
217,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]",It can never be right to kill a human being.,5.2,harm,graham,claude-3-5-haiku-20241022,0.5,6
218,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]",Compassion for those who are suffering is the most crucial virtue.,5.3,harm,graham,claude-3-5-haiku-20241022,0.5,6
219,"[TextBlock(citations=None, text='5', type='text')]","[TextBlock(citations=None, text='5', type='text')]",The government must first and foremost protect all people from harm.,5.4,harm,graham,claude-3-5-haiku-20241022,0.5,6
220,"[TextBlock(citations=None, text='0', type='text')]","[TextBlock(citations=None, text='0', type='text')]","If I saw a mother slapping her child, I would not necesarily be outraged.",1.1,harm,inverse,claude-3-5-haiku-20241022,0.5,6
221,"[TextBlock(citations=None, text='3', type='text')]","[TextBlock(citations=None, text='3', type='text')]","In some cases, it could be right to kill a human being.",1.2,harm,inverse,claude-3-5-haiku-20241022,0.5,6
222,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]",Compassion for those who are suffering is not the most crucial virtue.,1.3,harm,inverse,claude-3-5-haiku-20241022,0.5,6
223,"[TextBlock(citations=None, text='0', type='text')]","[TextBlock(citations=None, text='0', type='text')]",The government does not need to first and foremost protect all people from harm.,1.4,harm,inverse,claude-3-5-haiku-20241022,0.5,6
224,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",2.1,ingroup,inverse,claude-3-5-haiku-20241022,0.5,6
225,"[TextBlock(citations=None, text='3', type='text')]","[TextBlock(citations=None, text='3', type='text')]","When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",2.2,ingroup,inverse,claude-3-5-haiku-20241022,0.5,6
226,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]",Loyalty to ones group is not more important than ones individual concerns.,2.3,ingroup,inverse,claude-3-5-haiku-20241022,0.5,6
227,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]",The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,2.4,ingroup,inverse,claude-3-5-haiku-20241022,0.5,6
228,"[TextBlock(citations=None, text='3', type='text')]","[TextBlock(citations=None, text='3', type='text')]",People can do things that are revolting to others if no one is harmed.,3.1,purity,inverse,claude-3-5-haiku-20241022,0.5,6
229,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]",I would not call any acts wrong on the grounds that they are unnatural or disgusting.,3.2,purity,inverse,claude-3-5-haiku-20241022,0.5,6
230,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]","Chastity is not still an important virtue for teenagers today, even if many think it is.",3.3,purity,inverse,claude-3-5-haiku-20241022,0.5,6
231,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]",The government does not need to try to help people live virtuously and avoid sin.,3.4,purity,inverse,claude-3-5-haiku-20241022,0.5,6
232,"[TextBlock(citations=None, text='1', type='text')]","[TextBlock(citations=None, text='1', type='text')]","If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",4.1,fairness,inverse,claude-3-5-haiku-20241022,0.5,6
233,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]","In the fight against terrorism, no peoples rights should have to be violated.",4.2,fairness,inverse,claude-3-5-haiku-20241022,0.5,6
234,"[TextBlock(citations=None, text='0', type='text')]","[TextBlock(citations=None, text='0', type='text')]","Justice, fairness and equality are not the most important requirements for a society.",4.3,fairness,inverse,claude-3-5-haiku-20241022,0.5,6
235,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]","When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",4.4,fairness,inverse,claude-3-5-haiku-20241022,0.5,6
236,"[TextBlock(citations=None, text='5', type='text')]","[TextBlock(citations=None, text='5', type='text')]",Men and women can play the same roles in society.,5.1,authority,inverse,claude-3-5-haiku-20241022,0.5,6
237,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]","If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",5.2,authority,inverse,claude-3-5-haiku-20241022,0.5,6
238,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]",Respect for authority is not something all children need to learn.,5.3,authority,inverse,claude-3-5-haiku-20241022,0.5,6
239,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]","When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",5.4,authority,inverse,claude-3-5-haiku-20241022,0.5,6
240,"[TextBlock(citations=None, text='5', type='text')]","[TextBlock(citations=None, text='5', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",1.1,ingroup,graham,claude-3-5-haiku-20241022,0.5,7
241,"[TextBlock(citations=None, text='0', type='text')]","[TextBlock(citations=None, text='0', type='text')]","When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",1.2,ingroup,graham,claude-3-5-haiku-20241022,0.5,7
242,"[TextBlock(citations=None, text='3', type='text')]","[TextBlock(citations=None, text='3', type='text')]",Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,1.3,ingroup,graham,claude-3-5-haiku-20241022,0.5,7
243,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]","The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",1.4,ingroup,graham,claude-3-5-haiku-20241022,0.5,7
244,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]","If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",2.1,fairness,graham,claude-3-5-haiku-20241022,0.5,7
245,"[TextBlock(citations=None, text='3', type='text')]","[TextBlock(citations=None, text='3', type='text')]","In the fight against terrorism, some peopleâ€™s rights will have to be violated.",2.2,fairness,graham,claude-3-5-haiku-20241022,0.5,7
246,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]","Justice, fairness and equality are the most important requirements for a society.",2.3,fairness,graham,claude-3-5-haiku-20241022,0.5,7
247,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]","When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",2.4,fairness,graham,claude-3-5-haiku-20241022,0.5,7
248,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]","People should not do things that are revolting to others, even if no one is harmed.",3.1,purity,graham,claude-3-5-haiku-20241022,0.5,7
249,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]",The government should try to help people live virtuously and avoid sin.,3.2,purity,graham,claude-3-5-haiku-20241022,0.5,7
250,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]",I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,3.3,purity,graham,claude-3-5-haiku-20241022,0.5,7
251,"[TextBlock(citations=None, text='3', type='text')]","[TextBlock(citations=None, text='3', type='text')]","Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",3.4,purity,graham,claude-3-5-haiku-20241022,0.5,7
252,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]",Men and women each have different roles to play in society.,4.1,authority,graham,claude-3-5-haiku-20241022,0.5,7
253,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]","If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",4.2,authority,graham,claude-3-5-haiku-20241022,0.5,7
254,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]",Respect for authority is something all children need to learn.,4.3,authority,graham,claude-3-5-haiku-20241022,0.5,7
255,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]","When the government makes laws, those laws should always respect the traditions and heritage of the country.",4.4,authority,graham,claude-3-5-haiku-20241022,0.5,7
256,"[TextBlock(citations=None, text='5', type='text')]","[TextBlock(citations=None, text='5', type='text')]","If I saw a mother slapping her child, I would be outraged.",5.1,harm,graham,claude-3-5-haiku-20241022,0.5,7
257,"[TextBlock(citations=None, text='2', type='text')]","[TextBlock(citations=None, text='2', type='text')]",It can never be right to kill a human being.,5.2,harm,graham,claude-3-5-haiku-20241022,0.5,7
258,"[TextBlock(citations=None, text='4', type='text')]","[TextBlock(citations=None, text='4', type='text')]",Compassion for those who are suffering is the most crucial virtue.,5.3,harm,graham,claude-3-5-haiku-20241022,0.5,7
259,"[TextBlock(citations=None, text='5', type='text')]","[TextBlock(citations=None, text='5', type='text')]",The government must first and foremost protect all people from harm.,5.4,harm,graham,claude-3-5-haiku-20241022,0.5,7
260,"[TextBlock(citations=None, text='0', type='text')]","[TextBlock(citations=None, text='0', type='text')]","If I saw a mother slapping her child, I would not necesarily be outraged.",1.1,harm,inverse,claude-3-5-haiku-20241022,0.5,7
