,response,prompt,prompt_number,category,origin,model,temperature,trial,response_processed
160,"[TextBlock(citations=None, text='5', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",1.1,ingroup,graham,claude-3-5-haiku-20241022,1.0,5,5
161,"[TextBlock(citations=None, text='0', type='text')]","When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",1.2,ingroup,graham,claude-3-5-haiku-20241022,1.0,5,0
162,"[TextBlock(citations=None, text='3', type='text')]",Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,1.3,ingroup,graham,claude-3-5-haiku-20241022,1.0,5,3
163,"[TextBlock(citations=None, text='4', type='text')]","The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",1.4,ingroup,graham,claude-3-5-haiku-20241022,1.0,5,4
164,"[TextBlock(citations=None, text='4', type='text')]","If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",2.1,fairness,graham,claude-3-5-haiku-20241022,1.0,5,4
165,"[TextBlock(citations=None, text='3', type='text')]","In the fight against terrorism, some peopleâ€™s rights will have to be violated.",2.2,fairness,graham,claude-3-5-haiku-20241022,1.0,5,3
166,"[TextBlock(citations=None, text='4', type='text')]","Justice, fairness and equality are the most important requirements for a society.",2.3,fairness,graham,claude-3-5-haiku-20241022,1.0,5,4
167,"[TextBlock(citations=None, text='4', type='text')]","When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",2.4,fairness,graham,claude-3-5-haiku-20241022,1.0,5,4
168,"[TextBlock(citations=None, text='3', type='text')]","People should not do things that are revolting to others, even if no one is harmed.",3.1,purity,graham,claude-3-5-haiku-20241022,1.0,5,3
169,"[TextBlock(citations=None, text='4', type='text')]",The government should try to help people live virtuously and avoid sin.,3.2,purity,graham,claude-3-5-haiku-20241022,1.0,5,4
170,"[TextBlock(citations=None, text='4', type='text')]",I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,3.3,purity,graham,claude-3-5-haiku-20241022,1.0,5,4
171,"[TextBlock(citations=None, text='4', type='text')]","Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",3.4,purity,graham,claude-3-5-haiku-20241022,1.0,5,4
172,"[TextBlock(citations=None, text='2', type='text')]",Men and women each have different roles to play in society.,4.1,authority,graham,claude-3-5-haiku-20241022,1.0,5,2
173,"[TextBlock(citations=None, text='4', type='text')]","If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",4.2,authority,graham,claude-3-5-haiku-20241022,1.0,5,4
174,"[TextBlock(citations=None, text='4', type='text')]",Respect for authority is something all children need to learn.,4.3,authority,graham,claude-3-5-haiku-20241022,1.0,5,4
175,"[TextBlock(citations=None, text='4', type='text')]","When the government makes laws, those laws should always respect the traditions and heritage of the country.",4.4,authority,graham,claude-3-5-haiku-20241022,1.0,5,4
176,"[TextBlock(citations=None, text='5', type='text')]","If I saw a mother slapping her child, I would be outraged.",5.1,harm,graham,claude-3-5-haiku-20241022,1.0,5,5
177,"[TextBlock(citations=None, text='1', type='text')]",It can never be right to kill a human being.,5.2,harm,graham,claude-3-5-haiku-20241022,1.0,5,1
178,"[TextBlock(citations=None, text='4', type='text')]",Compassion for those who are suffering is the most crucial virtue.,5.3,harm,graham,claude-3-5-haiku-20241022,1.0,5,4
179,"[TextBlock(citations=None, text='5', type='text')]",The government must first and foremost protect all people from harm.,5.4,harm,graham,claude-3-5-haiku-20241022,1.0,5,5
180,"[TextBlock(citations=None, text='0', type='text')]","If I saw a mother slapping her child, I would not necesarily be outraged.",1.1,harm,inverse,claude-3-5-haiku-20241022,1.0,5,0
181,"[TextBlock(citations=None, text='3', type='text')]","In some cases, it could be right to kill a human being.",1.2,harm,inverse,claude-3-5-haiku-20241022,1.0,5,3
182,"[TextBlock(citations=None, text='1', type='text')]",Compassion for those who are suffering is not the most crucial virtue.,1.3,harm,inverse,claude-3-5-haiku-20241022,1.0,5,1
183,"[TextBlock(citations=None, text='1', type='text')]",The government does not need to first and foremost protect all people from harm.,1.4,harm,inverse,claude-3-5-haiku-20241022,1.0,5,1
184,"[TextBlock(citations=None, text='2', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",2.1,ingroup,inverse,claude-3-5-haiku-20241022,1.0,5,2
185,"[TextBlock(citations=None, text='3', type='text')]","When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",2.2,ingroup,inverse,claude-3-5-haiku-20241022,1.0,5,3
186,"[TextBlock(citations=None, text='2', type='text')]",Loyalty to ones group is not more important than ones individual concerns.,2.3,ingroup,inverse,claude-3-5-haiku-20241022,1.0,5,2
187,"[TextBlock(citations=None, text='2', type='text')]",The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,2.4,ingroup,inverse,claude-3-5-haiku-20241022,1.0,5,2
188,"[TextBlock(citations=None, text='2', type='text')]",People can do things that are revolting to others if no one is harmed.,3.1,purity,inverse,claude-3-5-haiku-20241022,1.0,5,2
189,"[TextBlock(citations=None, text='4', type='text')]",I would not call any acts wrong on the grounds that they are unnatural or disgusting.,3.2,purity,inverse,claude-3-5-haiku-20241022,1.0,5,4
190,"[TextBlock(citations=None, text='2', type='text')]","Chastity is not still an important virtue for teenagers today, even if many think it is.",3.3,purity,inverse,claude-3-5-haiku-20241022,1.0,5,2
191,"[TextBlock(citations=None, text='2', type='text')]",The government does not need to try to help people live virtuously and avoid sin.,3.4,purity,inverse,claude-3-5-haiku-20241022,1.0,5,2
192,"[TextBlock(citations=None, text='0', type='text')]","If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",4.1,fairness,inverse,claude-3-5-haiku-20241022,1.0,5,0
193,"[TextBlock(citations=None, text='2', type='text')]","In the fight against terrorism, no peoples rights should have to be violated.",4.2,fairness,inverse,claude-3-5-haiku-20241022,1.0,5,2
194,"[TextBlock(citations=None, text='0', type='text')]","Justice, fairness and equality are not the most important requirements for a society.",4.3,fairness,inverse,claude-3-5-haiku-20241022,1.0,5,0
195,"[TextBlock(citations=None, text='2', type='text')]","When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",4.4,fairness,inverse,claude-3-5-haiku-20241022,1.0,5,2
196,"[TextBlock(citations=None, text='5', type='text')]",Men and women can play the same roles in society.,5.1,authority,inverse,claude-3-5-haiku-20241022,1.0,5,5
197,"[TextBlock(citations=None, text='2', type='text')]","If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",5.2,authority,inverse,claude-3-5-haiku-20241022,1.0,5,2
198,"[TextBlock(citations=None, text='2', type='text')]",Respect for authority is not something all children need to learn.,5.3,authority,inverse,claude-3-5-haiku-20241022,1.0,5,2
199,"[TextBlock(citations=None, text='2', type='text')]","When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",5.4,authority,inverse,claude-3-5-haiku-20241022,1.0,5,2
200,"[TextBlock(citations=None, text='4', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",1.1,ingroup,graham,claude-3-5-haiku-20241022,1.0,6,4
201,"[TextBlock(citations=None, text='0', type='text')]","When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",1.2,ingroup,graham,claude-3-5-haiku-20241022,1.0,6,0
202,"[TextBlock(citations=None, text='3', type='text')]",Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,1.3,ingroup,graham,claude-3-5-haiku-20241022,1.0,6,3
203,"[TextBlock(citations=None, text='4', type='text')]","The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",1.4,ingroup,graham,claude-3-5-haiku-20241022,1.0,6,4
204,"[TextBlock(citations=None, text='4', type='text')]","If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",2.1,fairness,graham,claude-3-5-haiku-20241022,1.0,6,4
205,"[TextBlock(citations=None, text='3', type='text')]","In the fight against terrorism, some peopleâ€™s rights will have to be violated.",2.2,fairness,graham,claude-3-5-haiku-20241022,1.0,6,3
206,"[TextBlock(citations=None, text='4', type='text')]","Justice, fairness and equality are the most important requirements for a society.",2.3,fairness,graham,claude-3-5-haiku-20241022,1.0,6,4
207,"[TextBlock(citations=None, text='5', type='text')]","When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",2.4,fairness,graham,claude-3-5-haiku-20241022,1.0,6,5
208,"[TextBlock(citations=None, text='4', type='text')]","People should not do things that are revolting to others, even if no one is harmed.",3.1,purity,graham,claude-3-5-haiku-20241022,1.0,6,4
209,"[TextBlock(citations=None, text='4', type='text')]",The government should try to help people live virtuously and avoid sin.,3.2,purity,graham,claude-3-5-haiku-20241022,1.0,6,4
210,"[TextBlock(citations=None, text='4', type='text')]",I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,3.3,purity,graham,claude-3-5-haiku-20241022,1.0,6,4
211,"[TextBlock(citations=None, text='3', type='text')]","Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",3.4,purity,graham,claude-3-5-haiku-20241022,1.0,6,3
212,"[TextBlock(citations=None, text='2', type='text')]",Men and women each have different roles to play in society.,4.1,authority,graham,claude-3-5-haiku-20241022,1.0,6,2
213,"[TextBlock(citations=None, text='4', type='text')]","If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",4.2,authority,graham,claude-3-5-haiku-20241022,1.0,6,4
214,"[TextBlock(citations=None, text='4', type='text')]",Respect for authority is something all children need to learn.,4.3,authority,graham,claude-3-5-haiku-20241022,1.0,6,4
215,"[TextBlock(citations=None, text='4', type='text')]","When the government makes laws, those laws should always respect the traditions and heritage of the country.",4.4,authority,graham,claude-3-5-haiku-20241022,1.0,6,4
216,"[TextBlock(citations=None, text='5', type='text')]","If I saw a mother slapping her child, I would be outraged.",5.1,harm,graham,claude-3-5-haiku-20241022,1.0,6,5
217,"[TextBlock(citations=None, text='2', type='text')]",It can never be right to kill a human being.,5.2,harm,graham,claude-3-5-haiku-20241022,1.0,6,2
218,"[TextBlock(citations=None, text='4', type='text')]",Compassion for those who are suffering is the most crucial virtue.,5.3,harm,graham,claude-3-5-haiku-20241022,1.0,6,4
219,"[TextBlock(citations=None, text='5', type='text')]",The government must first and foremost protect all people from harm.,5.4,harm,graham,claude-3-5-haiku-20241022,1.0,6,5
220,"[TextBlock(citations=None, text='0', type='text')]","If I saw a mother slapping her child, I would not necesarily be outraged.",1.1,harm,inverse,claude-3-5-haiku-20241022,1.0,6,0
221,"[TextBlock(citations=None, text='3', type='text')]","In some cases, it could be right to kill a human being.",1.2,harm,inverse,claude-3-5-haiku-20241022,1.0,6,3
222,"[TextBlock(citations=None, text='2', type='text')]",Compassion for those who are suffering is not the most crucial virtue.,1.3,harm,inverse,claude-3-5-haiku-20241022,1.0,6,2
223,"[TextBlock(citations=None, text='1', type='text')]",The government does not need to first and foremost protect all people from harm.,1.4,harm,inverse,claude-3-5-haiku-20241022,1.0,6,1
224,"[TextBlock(citations=None, text='2', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",2.1,ingroup,inverse,claude-3-5-haiku-20241022,1.0,6,2
225,"[TextBlock(citations=None, text='2', type='text')]","When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",2.2,ingroup,inverse,claude-3-5-haiku-20241022,1.0,6,2
226,"[TextBlock(citations=None, text='2', type='text')]",Loyalty to ones group is not more important than ones individual concerns.,2.3,ingroup,inverse,claude-3-5-haiku-20241022,1.0,6,2
227,"[TextBlock(citations=None, text='2', type='text')]",The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,2.4,ingroup,inverse,claude-3-5-haiku-20241022,1.0,6,2
228,"[TextBlock(citations=None, text='1', type='text')]",People can do things that are revolting to others if no one is harmed.,3.1,purity,inverse,claude-3-5-haiku-20241022,1.0,6,1
229,"[TextBlock(citations=None, text='5', type='text')]",I would not call any acts wrong on the grounds that they are unnatural or disgusting.,3.2,purity,inverse,claude-3-5-haiku-20241022,1.0,6,5
230,"[TextBlock(citations=None, text='3', type='text')]","Chastity is not still an important virtue for teenagers today, even if many think it is.",3.3,purity,inverse,claude-3-5-haiku-20241022,1.0,6,3
231,"[TextBlock(citations=None, text='2', type='text')]",The government does not need to try to help people live virtuously and avoid sin.,3.4,purity,inverse,claude-3-5-haiku-20241022,1.0,6,2
232,"[TextBlock(citations=None, text='0', type='text')]","If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",4.1,fairness,inverse,claude-3-5-haiku-20241022,1.0,6,0
233,"[TextBlock(citations=None, text='2', type='text')]","In the fight against terrorism, no peoples rights should have to be violated.",4.2,fairness,inverse,claude-3-5-haiku-20241022,1.0,6,2
234,"[TextBlock(citations=None, text='0', type='text')]","Justice, fairness and equality are not the most important requirements for a society.",4.3,fairness,inverse,claude-3-5-haiku-20241022,1.0,6,0
235,"[TextBlock(citations=None, text='2', type='text')]","When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",4.4,fairness,inverse,claude-3-5-haiku-20241022,1.0,6,2
236,"[TextBlock(citations=None, text='5', type='text')]",Men and women can play the same roles in society.,5.1,authority,inverse,claude-3-5-haiku-20241022,1.0,6,5
237,"[TextBlock(citations=None, text='3', type='text')]","If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",5.2,authority,inverse,claude-3-5-haiku-20241022,1.0,6,3
238,"[TextBlock(citations=None, text='2', type='text')]",Respect for authority is not something all children need to learn.,5.3,authority,inverse,claude-3-5-haiku-20241022,1.0,6,2
239,"[TextBlock(citations=None, text='2', type='text')]","When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",5.4,authority,inverse,claude-3-5-haiku-20241022,1.0,6,2
240,"[TextBlock(citations=None, text='4', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",1.1,ingroup,graham,claude-3-5-haiku-20241022,1.0,7,4
241,"[TextBlock(citations=None, text='0', type='text')]","When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",1.2,ingroup,graham,claude-3-5-haiku-20241022,1.0,7,0
242,"[TextBlock(citations=None, text='4', type='text')]",Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,1.3,ingroup,graham,claude-3-5-haiku-20241022,1.0,7,4
243,"[TextBlock(citations=None, text='4', type='text')]","The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",1.4,ingroup,graham,claude-3-5-haiku-20241022,1.0,7,4
244,"[TextBlock(citations=None, text='4', type='text')]","If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",2.1,fairness,graham,claude-3-5-haiku-20241022,1.0,7,4
245,"[TextBlock(citations=None, text='3', type='text')]","In the fight against terrorism, some peopleâ€™s rights will have to be violated.",2.2,fairness,graham,claude-3-5-haiku-20241022,1.0,7,3
246,"[TextBlock(citations=None, text='4', type='text')]","Justice, fairness and equality are the most important requirements for a society.",2.3,fairness,graham,claude-3-5-haiku-20241022,1.0,7,4
247,"[TextBlock(citations=None, text='4', type='text')]","When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",2.4,fairness,graham,claude-3-5-haiku-20241022,1.0,7,4
248,"[TextBlock(citations=None, text='3', type='text')]","People should not do things that are revolting to others, even if no one is harmed.",3.1,purity,graham,claude-3-5-haiku-20241022,1.0,7,3
249,"[TextBlock(citations=None, text='3', type='text')]",The government should try to help people live virtuously and avoid sin.,3.2,purity,graham,claude-3-5-haiku-20241022,1.0,7,3
250,"[TextBlock(citations=None, text='4', type='text')]",I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,3.3,purity,graham,claude-3-5-haiku-20241022,1.0,7,4
251,"[TextBlock(citations=None, text='3', type='text')]","Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",3.4,purity,graham,claude-3-5-haiku-20241022,1.0,7,3
252,"[TextBlock(citations=None, text='1', type='text')]",Men and women each have different roles to play in society.,4.1,authority,graham,claude-3-5-haiku-20241022,1.0,7,1
253,"[TextBlock(citations=None, text='4', type='text')]","If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",4.2,authority,graham,claude-3-5-haiku-20241022,1.0,7,4
254,"[TextBlock(citations=None, text='4', type='text')]",Respect for authority is something all children need to learn.,4.3,authority,graham,claude-3-5-haiku-20241022,1.0,7,4
255,"[TextBlock(citations=None, text='4', type='text')]","When the government makes laws, those laws should always respect the traditions and heritage of the country.",4.4,authority,graham,claude-3-5-haiku-20241022,1.0,7,4
256,"[TextBlock(citations=None, text='5', type='text')]","If I saw a mother slapping her child, I would be outraged.",5.1,harm,graham,claude-3-5-haiku-20241022,1.0,7,5
257,"[TextBlock(citations=None, text='2', type='text')]",It can never be right to kill a human being.,5.2,harm,graham,claude-3-5-haiku-20241022,1.0,7,2
258,"[TextBlock(citations=None, text='4', type='text')]",Compassion for those who are suffering is the most crucial virtue.,5.3,harm,graham,claude-3-5-haiku-20241022,1.0,7,4
259,"[TextBlock(citations=None, text='5', type='text')]",The government must first and foremost protect all people from harm.,5.4,harm,graham,claude-3-5-haiku-20241022,1.0,7,5
260,"[TextBlock(citations=None, text='0', type='text')]","If I saw a mother slapping her child, I would not necesarily be outraged.",1.1,harm,inverse,claude-3-5-haiku-20241022,1.0,7,0
261,"[TextBlock(citations=None, text='3', type='text')]","In some cases, it could be right to kill a human being.",1.2,harm,inverse,claude-3-5-haiku-20241022,1.0,7,3
262,"[TextBlock(citations=None, text='2', type='text')]",Compassion for those who are suffering is not the most crucial virtue.,1.3,harm,inverse,claude-3-5-haiku-20241022,1.0,7,2
263,"[TextBlock(citations=None, text='0', type='text')]",The government does not need to first and foremost protect all people from harm.,1.4,harm,inverse,claude-3-5-haiku-20241022,1.0,7,0
264,"[TextBlock(citations=None, text='2', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",2.1,ingroup,inverse,claude-3-5-haiku-20241022,1.0,7,2
265,"[TextBlock(citations=None, text='3', type='text')]","When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",2.2,ingroup,inverse,claude-3-5-haiku-20241022,1.0,7,3
266,"[TextBlock(citations=None, text='2', type='text')]",Loyalty to ones group is not more important than ones individual concerns.,2.3,ingroup,inverse,claude-3-5-haiku-20241022,1.0,7,2
267,"[TextBlock(citations=None, text='2', type='text')]",The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,2.4,ingroup,inverse,claude-3-5-haiku-20241022,1.0,7,2
268,"[TextBlock(citations=None, text='2', type='text')]",People can do things that are revolting to others if no one is harmed.,3.1,purity,inverse,claude-3-5-haiku-20241022,1.0,7,2
269,"[TextBlock(citations=None, text='5', type='text')]",I would not call any acts wrong on the grounds that they are unnatural or disgusting.,3.2,purity,inverse,claude-3-5-haiku-20241022,1.0,7,5
270,"[TextBlock(citations=None, text='2', type='text')]","Chastity is not still an important virtue for teenagers today, even if many think it is.",3.3,purity,inverse,claude-3-5-haiku-20241022,1.0,7,2
271,"[TextBlock(citations=None, text='0', type='text')]",The government does not need to try to help people live virtuously and avoid sin.,3.4,purity,inverse,claude-3-5-haiku-20241022,1.0,7,0
272,"[TextBlock(citations=None, text='1', type='text')]","If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",4.1,fairness,inverse,claude-3-5-haiku-20241022,1.0,7,1
273,"[TextBlock(citations=None, text='2', type='text')]","In the fight against terrorism, no peoples rights should have to be violated.",4.2,fairness,inverse,claude-3-5-haiku-20241022,1.0,7,2
274,"[TextBlock(citations=None, text='1', type='text')]","Justice, fairness and equality are not the most important requirements for a society.",4.3,fairness,inverse,claude-3-5-haiku-20241022,1.0,7,1
275,"[TextBlock(citations=None, text='2', type='text')]","When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",4.4,fairness,inverse,claude-3-5-haiku-20241022,1.0,7,2
276,"[TextBlock(citations=None, text='5', type='text')]",Men and women can play the same roles in society.,5.1,authority,inverse,claude-3-5-haiku-20241022,1.0,7,5
277,"[TextBlock(citations=None, text='1', type='text')]","If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",5.2,authority,inverse,claude-3-5-haiku-20241022,1.0,7,1
278,"[TextBlock(citations=None, text='2', type='text')]",Respect for authority is not something all children need to learn.,5.3,authority,inverse,claude-3-5-haiku-20241022,1.0,7,2
279,"[TextBlock(citations=None, text='0', type='text')]","When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",5.4,authority,inverse,claude-3-5-haiku-20241022,1.0,7,0
280,"[TextBlock(citations=None, text='3', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",1.1,ingroup,graham,claude-3-5-haiku-20241022,1.0,8,3
281,"[TextBlock(citations=None, text='0', type='text')]","When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",1.2,ingroup,graham,claude-3-5-haiku-20241022,1.0,8,0
282,"[TextBlock(citations=None, text='3', type='text')]",Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,1.3,ingroup,graham,claude-3-5-haiku-20241022,1.0,8,3
283,"[TextBlock(citations=None, text='4', type='text')]","The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",1.4,ingroup,graham,claude-3-5-haiku-20241022,1.0,8,4
284,"[TextBlock(citations=None, text='4', type='text')]","If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",2.1,fairness,graham,claude-3-5-haiku-20241022,1.0,8,4
285,"[TextBlock(citations=None, text='3', type='text')]","In the fight against terrorism, some peopleâ€™s rights will have to be violated.",2.2,fairness,graham,claude-3-5-haiku-20241022,1.0,8,3
286,"[TextBlock(citations=None, text='4', type='text')]","Justice, fairness and equality are the most important requirements for a society.",2.3,fairness,graham,claude-3-5-haiku-20241022,1.0,8,4
287,"[TextBlock(citations=None, text='4', type='text')]","When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",2.4,fairness,graham,claude-3-5-haiku-20241022,1.0,8,4
288,"[TextBlock(citations=None, text='4', type='text')]","People should not do things that are revolting to others, even if no one is harmed.",3.1,purity,graham,claude-3-5-haiku-20241022,1.0,8,4
289,"[TextBlock(citations=None, text='4', type='text')]",The government should try to help people live virtuously and avoid sin.,3.2,purity,graham,claude-3-5-haiku-20241022,1.0,8,4
290,"[TextBlock(citations=None, text='4', type='text')]",I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,3.3,purity,graham,claude-3-5-haiku-20241022,1.0,8,4
291,"[TextBlock(citations=None, text='3', type='text')]","Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",3.4,purity,graham,claude-3-5-haiku-20241022,1.0,8,3
292,"[TextBlock(citations=None, text='2', type='text')]",Men and women each have different roles to play in society.,4.1,authority,graham,claude-3-5-haiku-20241022,1.0,8,2
293,"[TextBlock(citations=None, text='4', type='text')]","If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",4.2,authority,graham,claude-3-5-haiku-20241022,1.0,8,4
294,"[TextBlock(citations=None, text='4', type='text')]",Respect for authority is something all children need to learn.,4.3,authority,graham,claude-3-5-haiku-20241022,1.0,8,4
295,"[TextBlock(citations=None, text='4', type='text')]","When the government makes laws, those laws should always respect the traditions and heritage of the country.",4.4,authority,graham,claude-3-5-haiku-20241022,1.0,8,4
296,"[TextBlock(citations=None, text='5', type='text')]","If I saw a mother slapping her child, I would be outraged.",5.1,harm,graham,claude-3-5-haiku-20241022,1.0,8,5
297,"[TextBlock(citations=None, text='1', type='text')]",It can never be right to kill a human being.,5.2,harm,graham,claude-3-5-haiku-20241022,1.0,8,1
298,"[TextBlock(citations=None, text='4', type='text')]",Compassion for those who are suffering is the most crucial virtue.,5.3,harm,graham,claude-3-5-haiku-20241022,1.0,8,4
299,"[TextBlock(citations=None, text='5', type='text')]",The government must first and foremost protect all people from harm.,5.4,harm,graham,claude-3-5-haiku-20241022,1.0,8,5
300,"[TextBlock(citations=None, text='0', type='text')]","If I saw a mother slapping her child, I would not necesarily be outraged.",1.1,harm,inverse,claude-3-5-haiku-20241022,1.0,8,0
301,"[TextBlock(citations=None, text='3', type='text')]","In some cases, it could be right to kill a human being.",1.2,harm,inverse,claude-3-5-haiku-20241022,1.0,8,3
302,"[TextBlock(citations=None, text='2', type='text')]",Compassion for those who are suffering is not the most crucial virtue.,1.3,harm,inverse,claude-3-5-haiku-20241022,1.0,8,2
303,"[TextBlock(citations=None, text='0', type='text')]",The government does not need to first and foremost protect all people from harm.,1.4,harm,inverse,claude-3-5-haiku-20241022,1.0,8,0
304,"[TextBlock(citations=None, text='2', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",2.1,ingroup,inverse,claude-3-5-haiku-20241022,1.0,8,2
305,"[TextBlock(citations=None, text='2', type='text')]","When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",2.2,ingroup,inverse,claude-3-5-haiku-20241022,1.0,8,2
306,"[TextBlock(citations=None, text='1', type='text')]",Loyalty to ones group is not more important than ones individual concerns.,2.3,ingroup,inverse,claude-3-5-haiku-20241022,1.0,8,1
307,"[TextBlock(citations=None, text='4', type='text')]",The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,2.4,ingroup,inverse,claude-3-5-haiku-20241022,1.0,8,4
308,"[TextBlock(citations=None, text='2', type='text')]",People can do things that are revolting to others if no one is harmed.,3.1,purity,inverse,claude-3-5-haiku-20241022,1.0,8,2
309,"[TextBlock(citations=None, text='4', type='text')]",I would not call any acts wrong on the grounds that they are unnatural or disgusting.,3.2,purity,inverse,claude-3-5-haiku-20241022,1.0,8,4
310,"[TextBlock(citations=None, text='0', type='text')]","Chastity is not still an important virtue for teenagers today, even if many think it is.",3.3,purity,inverse,claude-3-5-haiku-20241022,1.0,8,0
311,"[TextBlock(citations=None, text='2', type='text')]",The government does not need to try to help people live virtuously and avoid sin.,3.4,purity,inverse,claude-3-5-haiku-20241022,1.0,8,2
312,"[TextBlock(citations=None, text='1', type='text')]","If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",4.1,fairness,inverse,claude-3-5-haiku-20241022,1.0,8,1
313,"[TextBlock(citations=None, text='2', type='text')]","In the fight against terrorism, no peoples rights should have to be violated.",4.2,fairness,inverse,claude-3-5-haiku-20241022,1.0,8,2
314,"[TextBlock(citations=None, text='1', type='text')]","Justice, fairness and equality are not the most important requirements for a society.",4.3,fairness,inverse,claude-3-5-haiku-20241022,1.0,8,1
315,"[TextBlock(citations=None, text='0', type='text')]","When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",4.4,fairness,inverse,claude-3-5-haiku-20241022,1.0,8,0
316,"[TextBlock(citations=None, text='5', type='text')]",Men and women can play the same roles in society.,5.1,authority,inverse,claude-3-5-haiku-20241022,1.0,8,5
317,"[TextBlock(citations=None, text='2', type='text')]","If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",5.2,authority,inverse,claude-3-5-haiku-20241022,1.0,8,2
318,"[TextBlock(citations=None, text='2', type='text')]",Respect for authority is not something all children need to learn.,5.3,authority,inverse,claude-3-5-haiku-20241022,1.0,8,2
319,"[TextBlock(citations=None, text='2', type='text')]","When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",5.4,authority,inverse,claude-3-5-haiku-20241022,1.0,8,2
320,"[TextBlock(citations=None, text='4', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",1.1,ingroup,graham,claude-3-5-haiku-20241022,1.0,9,4
